name	exit_code	expectation	command
causal_mask.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/causal_mask.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
causal_mask.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/causal_mask.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
dtype_boolean.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/dtype_boolean.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/dtype_boolean.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
dtype_boolean.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/dtype_boolean.aot
dtype_boolean.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/dtype_boolean.aot
dtype_boolean.jit_run	0	jit	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/dtype_boolean.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
dtype_boolean.jit_run_2	0	jit-repeat	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/dtype_boolean.esk -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
dtype_integer.aot_compile	0	capability-compile	/home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/dtype_integer.esk -o /home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/dtype_integer.aot -L /home/gabe/.codex/worktrees/49f7/eshkol-transformer/.deps/eshkol-build-minimal
dtype_integer.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/dtype_integer.aot
dtype_integer.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0-canonical-full-work-20260828/dtype_integer.aot
