name	exit_code	expectation	command
autodiff_relu.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_relu.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_relu.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_relu.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_repeated_calls.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_repeated_calls.esk -o /home/gabe/.cache/eshkol-r0/work3/autodiff_repeated_calls.aot -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_repeated_calls.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/autodiff_repeated_calls.aot
autodiff_repeated_calls.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/autodiff_repeated_calls.aot
autodiff_repeated_calls.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_repeated_calls.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_repeated_calls.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_repeated_calls.esk -L /home/gabe/.cache/eshkol-r0/work3/build
batch_matmul.aot_compile	1	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/batch_matmul.esk -o /home/gabe/.cache/eshkol-r0/work3/batch_matmul.aot -L /home/gabe/.cache/eshkol-r0/work3/build
batch_matmul.jit_run	1	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/batch_matmul.esk -L /home/gabe/.cache/eshkol-r0/work3/build
batch_matmul.jit_run_2	1	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/batch_matmul.esk -L /home/gabe/.cache/eshkol-r0/work3/build
broadcast.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/broadcast.esk -o /home/gabe/.cache/eshkol-r0/work3/broadcast.aot -L /home/gabe/.cache/eshkol-r0/work3/build
broadcast.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/broadcast.aot
broadcast.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/broadcast.aot
broadcast.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/broadcast.esk -L /home/gabe/.cache/eshkol-r0/work3/build
broadcast.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/broadcast.esk -L /home/gabe/.cache/eshkol-r0/work3/build
